Disease,Anatomy,Surgery,Medicine,Composition,Cause,Complication,Diagnosis,Precaution,Riskfactor,Symptom
ABO and Rh blood groups,,,,,,,Blood typing,,,
ACL injury,,,,,"Suddenly slowing down, changing direction, cutting, Pivoting with your foot firmly planted, Landing awkwardly from jump, Stopping suddenly, direct blow to the knee, having a collision","osteoarthritis in the knee, arthritis",,,,
ADHD,,,consult doctor,,,,,"protein-rich breakfast, walk to school if possible, have a quiet place to do homework","Exposure to environmental toxins, family history, drug use, alcohol use or smoking during pregnancy",
AIDS,"brain, immune system, skin, spinal cord","Hypnosurgery, V-plasty, VY-plasty, W-plasty, Z-plasty, Escharotomy, Skin biopsy","abacavir, didanosine, emtricitabine, lamivudine, stavudine, tenofovir, zalcitabine, zidovudine",,"virus, sexual contact, illicit injection drug use or sharing needles, contact with infected blood, or from mother to child during pregnancy, childbirth, breastfeeding","Pneumocystis pneumonia (PCP), Candidiasis (thrush), Tuberculosis (TB), Cytomegalovirus, Cryptococcal meningitis, Toxoplasmosis, Lymphoma, Kaposi's sarcoma, Wasting syndrome, Neurological complications, Kidney disease, Liver disease",,"pre-exposure prophylaxis (PrEP),use condoms or dental dams with oral sex","Having unprotected sex,having another sexually transmitted infection","muscle wasting, patches in throat, high fever, extra marital contacts"
Abdominal Aortic Aneurysm,,,,,"Hardening of the arteries, atherosclerosis, High blood pressure, Blood vessel diseases, Infection in the aorta, Trauma","aortic dissection, ruptured aneurysm, developing blood clots, cause pain, block blood flow",,,,
Abdominal and pelvic conditions,,,,,,,Ultrasound,,,
Abdominal disorders,,,,,,,"Laparoscopy, Computed tomography (CT scan)",,,
Absence Seizure,,,,,"genetic predisposition, abnormal electrical impulses from nerve cells","Learning difficulties, Behavior problems, Social isolation",,,,
Acanthosis nigricans,,,,,"Insulin resistance, Certain drugs and supplements, Cancer",type 2 diabetes,,,,
Acne,,,"antibiotics, isoniazid",,"Excess oil (sebum) production, Hair follicles clogged by oil and dead skin cells, Bacteria, Inflammation, Hormonal changes, Stress, Diet","Scars, Pitted skin, keloids, Skin changes, hyperpigmented, hypopigmented",,"Bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products","Being teenager, Hormonal changes, Friction or pressure on your skin, Stress, certain medicines","skin rash, pus filled pimples, blackheads, scurring"
Adenomyosis,,,consult doctor,,,,,No precaution,"Prior uterine surgery, such as a C-section or fibroid removal, Childbirth, Middle age",
Adrenal insufficiency,,,,,,,Epinephrine tolerance test,,,
Alcoholic Hepatitis,,,,,,,,,,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload"
Allergic contact dermatitis,,,,,,,Patch test,,,
Allergic reactions,,,,,,,Skin test,,,
Allergies,,,,,"Airborne allergens, Certain foods, Insect stings, Medications, Latex or other substances you touch, ","Anaphylaxis, Asthma, Sinusitis, infections of the ears or lungs, ",", Hypersensitivity reactions, Immunologic blood test",,,
Allergy,,,antihistamine,"Brompheniramine, Cetirizine, Chlorpheniramine, Brompheniramine (Dimetane)",,,,,,"continuous sneezing, shivering, chills, watering from eyes"
Alzheimer's,,,"cholinesterase inhibitors, donepezil, galantamine, rivastigmine","humulene (46.3%), caryophyllene (9.3%), copaene (8.2%), myrcene (4.3%), Z(E)-farnesene (3.7%), calarene (3.5%)","loss of neurons, Plaques, Tangles","ability to swallow, balance, and control bowel and bladder movements, Inhaling food or liquid into the lungs, Flu, pneumonia, Poor nutrition, dehydration, Constipation, diarrhea, Dental problems",,"Stopping smoking, keeping alcohol to a minimum, eating a healthy, balanced diet, exercising","Lack of exercise, Obesity, Smoking, High BP, High cholesterol, Poorly controlled diabetes, family history",
Alzheimer's disease,,,,,,,Brain scanning,,,
Amnesia,,,consult doctor,,"Stroke, Brain inflammation, Not enough oxygen in the brain, alcohol misuse, little vitamin B-1, Tumors, Seizures","lost memories, problems at work, at school, in social settings",,"Avoid heavy use of alcohol, drugs, Stay mentally active, exercise, use protective gear while playing","Brain surgery, head injury or trauma, Stroke, Alcohol abuse, Seizures",
Anaphylaxis,,,,,,,Hypersensitivity reactions,,,
