,Questions,Response,Correct_Response
0,"Preventions like Exercise, use hot and cold therapy, try acupuncture, massage avoids which Disease ?",arthritis,arthritis
1,"What skin condition can be triggered by factors like excessive oil production, clogged hair follicles due to oil and dead skin cells, bacterial presence, inflammation, hormonal fluctuations, stress, and dietary habits? ",acne,acne
2,"The factors such as Being unvaccinated, Having a vitamin A deficiency, travelling to places where measles is common have a risk of which Disease ?",measles,measles
3,What disease can be prevented by getting vaccinated and avoiding contact with sick individuals? ,rubella,rubella
4,"What disease can be contracted through exposure to a virus, infectious droplets released by someone with measles, touching contaminated surfaces, or putting your fingers in your mouth or nose after contact with the virus? ",measles,measles
5,"The factors such as People living in unsanitary conditions, anyone who tours where diphtheria infections are more common have a risk of which Disease ?",diphtheria,diphtheria
6,"Diagnosis such as , Lumbar puncture are used to identify which Disease ?",meningitis,meningitis
7,What condition is diagnosed using techniques like magnetoencephalography and electroencephalography (EEG)? ,epilepsy,epilepsy
8,"Causes such as unhealthy diets, genetic, Overweight, obesity, physical inactivity, Insulin resistance, Genes, family history, Genetic mutations, Hormonal issues,  could lead to which Disease ?",diabetes,diabetes
9,"The factors such as , Diabetes, Unhealthy Diet, Obesity, Excessive Alcohol, Tobacco Use, Family History, high BP have a risk of which Disease ?",stroke,hypertension
10,What condition is diagnosed using a pregnancy test? ,ectopic pregnancy,pregnancy
11,"What condition can be prevented by practices like wearing loose clothing, deep breathing exercises, removing oneself from triggers, and seeking professional assistance? ",asthma,asthma
12,"What health condition can be prevented by adopting a balanced diet, engaging in regular exercise, quitting smoking, and consuming alcohol within recommended limits? ",stroke,dementia
13,"What condition can be contracted through activities like injecting drugs, gunshot wounds, fractures, animal or insect bites, foot ulcers, and surgical wounds? ",tetanus,tetanus
14,Diagnosis such as Laparoscopy are used to identify which Disease ?,endometriosis,endometriosis
15,"Preventions like , healthy diet, exercise regularly, and avoid smoking and drinking too much alcohol avoids which Disease ?",dementia,stroke
16,What condition is diagnosed using a nasopharyngolaryngoscopy? ,nasal polyps,nasal polyps
17,"What condition is characterized by symptoms like a skin rash, joint pain, skin peeling, a silvery dusting on the skin, small indentations in the nails, and inflammation of the nails? ",psoriasis,psoriasis
18,What disease poses a risk to children under the age of five and unvaccinated individuals? ,rubella,polio
19,"Diagnosis such as Blood analysis, Bone marrow aspiration are used to identify which Disease ?",leukemia,leukemia
20,"Preventions like drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated avoids which Disease ?",dengue,dengue
21,"What disease is a risk for individuals who are unvaccinated, travel to areas where whooping cough is prevalent, or come into contact with someone who is infected? ",whooping cough,whooping cough
22,Preventions like Getting vaccinated avoids which Disease ?,rubella,whooping cough
23,"The factors such as Being unvaccinated, travelling to places where mumps is common, contact of ill person have a risk of which Disease ?",mumps,mumps
24,"What condition is characterized by symptoms like headache, chest pain, dizziness, loss of balance, and difficulty concentrating? ",hypertension,hypertension
25,What disease can be prevented by avoiding contact with infected individuals? ,rubella,diphtheria
26,"What condition can be prevented by practicing good hygiene, such as avoiding touching your eyes with unwashed hands and not sharing items used by someone who is infected? ",conjunctivitis,conjunctivitis
27,"Diagnosis such as , Hematocrit, Blood count, Blood analysis are used to identify which Disease ?",leukemia,anemia
28,What condition can be triggered by factors like a genetic predisposition and abnormal electrical activity in nerve cells? ,epilepsy,absence seizure
29,What condition can be caused by bacterial infection? ,typhoid,tuberculosis
30,"Symptoms such as fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf indicate which Disease ?",varicose veins,varicose veins
31,"Which Disease could lead to complications such as Diarrhea and vomiting, Ear infection, Bronchitis, laryngitis, croup, Pneumonia, Encephalitis, Pregnancy problems ?",tuberculosis,measles
32,"Preventions like Get vaccinated against H1N1, wash your hands often with soap, Avoid touching your eyes,nose or mouth avoids which Disease ?",swine flu,swine flu
33,"Causes such as Mosquito transmission, mother to unborn child, blood transfusions, Transmission of parasite could lead to which Disease ?",malaria,malaria
34,"What condition can be prevented by practices like thorough handwashing with soap and warm water, controlling bleeding with pressure, seeking medical attention, and taking salt baths? ",tetanus,psoriasis
35,"Which Disease could lead to complications such as aortic dissection, ruptured aneurysm, developing blood clots, cause pain, block blood flow ?",abdominal aortic aneurysm,abdominal aortic aneurysm
36,"Preventions like acetaminophen, salt baths, Keep a healthy body weight, Prevent injury to your joints avoids which Disease ?",arthritis,osteoarthritis
37,"The factors such as Older age, being woman, during menopause, menstrual cycle or pregnancy,stress,mental health disorder have a risk of which Disease ?",insomnia,insomnia
38,"Preventions like have balanced diet,exercise,consult doctor,follow up,  avoids which Disease ?",arthritis,diabetes
39,"Symptoms such as fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,  indicate which Disease ?",diabetes,diabetes
40,"What health condition can be prevented by maintaining good hygiene, consuming a balanced diet low in fatty and spicy foods, staying hydrated, and limiting the use of certain products? ",acne,acne
41,"What condition is more likely to affect individuals who are older, female, have a family history of the condition, are obese, or spend extended periods of time standing or sitting? ",back pain,varicose veins
42,"What condition can be prevented by consuming iron-rich foods like fish, poultry, eggs, meat, peas, beans, lentils, and potatoes? ",anemia,anemia
43,"Preventions like Take frequent breaks, drink lots of water, Wear protective clothing, Avoid busy streets when riding,  avoids which Disease ?",epilepsy,epilepsy
44,What disease is a risk if you live in an area where leprosy is prevalent or come into contact with someone who has the disease? ,leprosy,leprosy
45,"Preventions like Control bleeding, Keep the wound clean, Use antibiotics, Cover the wound, Change the dressing avoids which Disease ?",tetanus,tetanus
46,"What condition is characterized by symptoms like itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swollen lymph nodes, general discomfort, and red spots on the body? ",chickenpox,chickenpox
47,"Symptoms such as muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking indicate which Disease ?",arthritis,arthritis
48,"What health condition can be exacerbated or triggered by factors like skipping meals, sleep deprivation or excessive sleep, stress, smoking, depression, anxiety, and excessive alcohol consumption? ",migraine,migraine
49,Diagnosis such as Thymol turbidity are used to identify which Disease ?,hepatitis,hepatitis
50,"What condition is a child more likely to develop if they have a family history of the condition, are male, have other disorders, were born extremely prematurely, or have older parents? ",autism,autism
51,"What disease can be caused by infections with viruses, Streptococcus pneumonia, Neisseria meningitidis, Haemophilus influenzae, or Listeria monocytogenes? ",meningitis,meningitis
52,"What condition poses a higher risk to individuals who are older or have underlying health issues like hypertension, diabetes, or heart disease? ",stroke,chikungunya
53,"What condition is more likely to develop in individuals with a family history of the disease, previous joint injuries, older age, female gender, or obesity? ",arthritis,arthritis
54,"The factors such as Wheezing when exhaling,Shortness of breath,Chest tightness or pain,  have a risk of which Disease ?",asthma,asthma
55,"What illness can be caused by bacteria, specifically Salmonella enterica serotype Typhi and other Salmonella bacteria? ",typhoid,typhoid
56,"What condition can be prevented by avoiding caffeine and alcohol late in the day, engaging in regular exercise, and creating a comfortable sleep environment? ",insomnia,insomnia
57,What condition is diagnosed through toxicological testing and examination? ,substance abuse,substance abuse
58,"Preventions like Prevent mosquito bites, Use insect repellent, wear long-sleeved shirts and pants avoids which Disease ?",yellow fever,chikungunya
59,"Causes such as Muscle or ligament strain, Bulging or ruptured disks, Arthritis, Osteoporosis could lead to which Disease ?",back pain,back pain
60,"The factors such as Skipping vaccinations, pregnant women, weak immune system, AIDS, alcoholism, diabetes, using drugs,  have a risk of which Disease ?",rubella,meningitis
61,"What disease can be prevented by practicing good hand hygiene, avoiding sharing personal items with sick individuals, and getting vaccinated? ",rubella,measles
62,What condition can be diagnosed through a blood count test? ,anemia,infections
63,"What condition can potentially lead to complications such as heart disease, cardiovascular problems, nerve damage, kidney damage, eye damage, foot damage, skin and mouth issues, hearing impairment, Alzheimer's disease, excessive growth, and preeclampsia? ",diabetes,diabetes
64,"What illness can be prevented by practicing good hygiene habits such as covering your mouth when coughing or sneezing, washing your hands before eating, and avoiding contact with sick individuals? ",meningitis,mumps
65,"What condition can cause serious complications like inflammation of the heart muscle (myocarditis), inflammation of the heart valves (endocarditis), infection of major blood vessels (mycotic aneurysm), pneumonia, inflammation of the pancreas (pancreatitis), kidney or bladder infections, meningitis, and psychiatric problems such as delirium, hallucinations, and paranoid psychosis? ",aids,typhoid
66,"What condition can have severe consequences like extreme fatigue, pregnancy complications, heart problems, and even death? ",diabetes,anemia
67,"What condition is characterized by symptoms like skin rashes, pus-filled pimples, blackheads, and scaling? ",acne,acne
68,"The factors such as Using contact lenses, Exposure to something for which you have an allergy have a risk of which Disease ?",conjunctivitis,conjunctivitis
69,What condition is detected through a Pap smear? ,cervical cancer,cervical cancer
70,"What disease is a risk if you work or travel to regions where typhoid fever is prevalent, or if you consume contaminated water? ",typhoid,typhoid
71,"Symptoms such as acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances indicate which Disease ?",migraine,migraine
72,"What condition is diagnosed using procedures like cerebral angiography, brain scanning, and cardiovascular diagnostics? ",stroke,stroke
73,"Which Disease could lead to complications such as Breathing problems, Blockage of a lung artery, pulmonary embolism, Pneumonia, Broken bones, Death ?",pneumonia,tetanus
74,What condition is diagnosed using respiratory tests and thoracentesis? ,pneumonia,pneumonia
